Año,Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán
2014,9813102,2763536,101414,350449,274102,330491,3437297,559725,169584,289826,302165,101110,456281,442028,570169,214444,622663,169880,182679,155420,2502775,385951,134378,471474
2015,10035731,2816133,115061,366583,274990,368820,3934314,613943,185471,335942,337437,101886,466851,468302,444833,229363,680653,175319,220413,218642,2442905,396479,146196,488697
2016,10076875,2867179,118735,364277,286489,371412,4025067,620768,185416,336443,370710,98928,465667,489046,443817,218170,690285,166825,217362,208257,2457764,395057,154260,503467
2017,10381942,2865926,140267,371091,286715,385933,4107157,697867,195050,340356,384444,96201,457564,504969,408631,259472,858861,160464,237296,198594,2476546,389058,157631,600826
2018,10686066,2990806,284228,417327,328011,409688,4352870,836803,223326,369042,331036,95480,412378,542482,316239,364150,697324,174044,229695,220210,2468703,406876,173874,487802
2019,10936367,3358635,148062,441474,318559,428542,4338722,858617,236062,362975,328116,90885,486462,566977,313409,420906,737783,147736,205099,205401,2516753,397734,176106,459454
2020,11796580,2978798,162436,470118,270626,447506,4327926,890551,238282,414380,319539,81523,417273,561925,317419,445398,797326,130851,185148,175957,2718410,362970,168258,428787
2021,11837281,2973975,174043,468509,298399,457940,4382440,917507,254672,429515,323244,86294,442856,558494,311030,445159,848938,135153,184054,170573,2933458,702991,169085,448059
2022,11933599,2972743,205866,487630,317411,537565,4550782,923024,270791,457229,315306,96235,519660,569675,301385,423124,861048,150819,189658,162792,3018679,598796,173182,521368
2023,12206236,3022994,216877,481591,312066,553623,4642907,962624,305481,487210,328505,110670,571623,564318,305418,412556,879095,170721,198591,158955,2998724,621017,181630,547924
2024,3000167,705786,51061,116721,77969,125516,1125896,256665,95511,120590,80190,23344,140185,131919,65311,96041,222358,38482,60326,39941,703120,147930,45721,130749
